O_TIMESTAMP	OPEN	HIGH	LOW	CLOSE	VOLUME	C_TIMESTAMP	QUOTE_ASSET_VOLUME	N_OF_TRADES	TAKER_B_ASSET_V	TAKER_Q_ASSET_VOLUME	IGNORE
1504656000000	4366.49000000	4522.81000000	4335.26000000	4461.29000000	353.72851100	1504684799999	1570102.96155829	3600	174.93890900	778131.42275020	11807.54755958
1504684800000	4476.13000000	4619.47000000	4422.28000000	4619.43000000	436.89161700	1504713600000	1978863.98330437	4313	242.36577600	1099116.50740965	11146.71897399
1504713600000	4619.43000000	4662.87000000	4610.00000000	4619.77000000	16.74359800	1504742399999	77379.11058057	43	5.61837800	25983.81075555	11138.37278647
1504742400000	4619.77000000	4661.93000000	4438.19000000	4510.25000000	153.11933300	1504771199999	691130.54731766	842	65.80276300	297555.51423927	11108.70317362
1504771200000	4475.01000000	4759.25000000	4458.00000000	4755.00000000	257.71995900	1504799999999	1193621.14128118	1558	131.54619900	609556.52249011	11111.91865714
1504800000000	4755.00000000	4788.59000000	4586.13000000	4691.61000000	89.59068300	1504828799999	421043.44778431	670	43.33498700	204187.20684528	11536.41291735
1504828800000	4691.66000000	4735.39000000	4586.13000000	4619.01000000	90.73090300	1504857599999	419122.16154317	753	35.17210100	162543.01680651	11593.08206550
1504857600000	4625.36000000	4699.77000000	4028.93000000	4348.65000000	528.46076600	1504886399999	2278081.88788721	1863	236.73037900	1016868.46151317	11095.28126729
1504886400000	4330.68000000	4396.49000000	4060.00000000	4282.80000000	513.06337700	1504915199999	2169323.17696299	2117	194.05963900	824865.81109787	11115.57334676
1504915200000	4282.80000000	4426.62000000	4150.06000000	4321.52000000	323.38445800	1504943999999	1379584.21082058	1684	162.93500800	696545.76835610	10834.12073620
1504944000000	4336.19000000	4400.60000000	4245.94000000	4276.00000000	184.49421000	1504972799999	795387.24151561	998	79.36325500	343175.37076719	10692.81625963
1504972800000	4276.00000000	4300.00000000	4159.64000000	4258.81000000	150.90428400	1505001599999	640412.01335079	1095	45.69154200	193905.86862080	10748.74875860
1505001600000	4258.81000000	4279.70000000	3801.00000000	3988.95000000	306.59180400	1505030399999	1241370.13388541	1412	97.55140200	395074.47595437	10573.89162990
1505030400000	3988.89000000	4135.48000000	3900.05000000	4094.93000000	186.19112000	1505059199999	754646.35815303	958	122.99735900	498556.04740273	10389.72331002
1505059200000	4086.92000000	4283.00000000	4072.45000000	4130.37000000	167.59035100	1505087999999	704355.31615367	1065	71.23812600	300253.51314739	10431.32749057
1505088000000	4153.62000000	4334.43000000	4098.91000000	4178.73000000	425.48034500	1505116799999	1799075.21000157	2006	191.64318100	811033.98585522	10407.65597150
1505116800000	4186.88000000	4313.18000000	4115.39000000	4251.29000000	157.66236400	1505145599999	665406.10300099	1182	84.93875800	358623.12371790	10603.37623873
1505145600000	4246.43000000	4280.00000000	4158.84000000	4208.47000000	116.84635600	1505174399999	492361.44949891	1040	45.61639100	192212.60367094	10696.14858553
1505174400000	4208.60000000	4394.59000000	4201.90000000	4361.00000000	245.26403700	1505203199999	1057666.80091886	2434	151.03475600	651097.76233381	10981.34322041
1505203200000	4361.04000000	4373.67000000	4228.50000000	4258.72000000	289.44133900	1505231999999	1237989.04455114	2109	101.77747600	435434.93001516	10788.45479734
1505232000000	4249.49000000	4280.00000000	4040.80000000	4163.72000000	344.92494300	1505260799999	1429534.77781952	1958	198.96843800	824482.57402169	10753.20738857
1505260800000	4159.72000000	4165.38000000	3796.80000000	3933.76000000	379.83807300	1505289599999	1504788.55601433	1898	170.43330700	675232.35915261	10571.79948351
1505289600000	3914.01000000	3976.19000000	3760.00000000	3795.00000000	344.48072100	1505318399999	1327224.61007606	2227	93.66722400	364169.31849328	10201.98870122
1505318400000	3775.47000000	3991.01000000	3765.13000000	3944.69000000	189.14375100	1505347199999	738352.75962630	894	98.95288200	386584.76326736	10140.67501448
1505347200000	3944.00000000	3993.00000000	3800.00000000	3869.99000000	223.86314900	1505375999999	863992.63297193	1270	96.47936400	373395.42757457	10129.85564599
